team1,team2,innings1_overs,innings1_wickets,innings1_runs,innings2_overs,innings2_wickets,innings2_runs,year
PAKISTAN,ENGLAND,49.4,10,241,45.4,10,218,2010
PAKISTAN,ENGLAND,50,7,265,46.1,10,227,2010
PAKISTAN,AUSTRALIA,49.4,10,274,48.3,5,275,2010
AUSTRALIA,PAKISTAN,46.4,10,176,41,6,178,2011
BANGLADESH,PAKISTAN,30.3,10,91,25.4,5,93,2011
INDIA,PAKISTAN,50,9,260,49.5,10,231,2011
IRELAND,PAKISTAN,50,8,238,48.4,5,242,2011
IRELAND,PAKISTAN,20,10,96,27.3,3,97,2011
NEW ZEALAND,PAKISTAN,50,7,262,49,8,264,2011
NEW ZEALAND,PAKISTAN,50,7,302,41.4,10,192,2011
NEW ZEALAND,PAKISTAN,50,7,311,44.1,10,254,2011
SRI LANKA,PAKISTAN,40.3,10,131,21.5,2,132,2011
SRI LANKA,PAKISTAN,50,9,218,47.2,7,219,2011
SRI LANKA,PAKISTAN,50,7,235,46.3,10,210,2011
WEST INDIES,PAKISTAN,43.3,10,112,20.5,0,113,2011
WEST INDIES,PAKISTAN,50,6,221,41.3,2,222,2011
WEST INDIES,PAKISTAN,43.4,10,171,40.1,7,177,2011
WEST INDIES,PAKISTAN,50,10,220,48,3,223,2011
ZIMBABWE,PAKISTAN,50,6,225,42.1,0,228,2011
ZIMBABWE,PAKISTAN,39.4,7,151,34.1,3,164,2011
PAKISTAN,BANGLADESH,50,7,262,50,7,186,2011
PAKISTAN,ZIMBABWE,50,5,270,50,9,242,2011
PAKISTAN,NEW ZEALAND,50,9,268,46.5,10,227,2011
PAKISTAN,WEST INDIES,41.2,10,139,23.3,0,140,2011
PAKISTAN,WEST INDIES,50,9,248,29.5,4,154,2011
PAKISTAN,BANGLADESH,46.1,10,177,38,10,119,2011
PAKISTAN,ZIMBABWE,50,7,247,50,7,242,2011
PAKISTAN,CANADA,43,10,184,42.5,10,138,2011
PAKISTAN,KENYA,50,7,317,33.1,10,112,2011
PAKISTAN,SRI LANKA,49.3,10,200,45.2,10,174,2011
PAKISTAN,NEW ZEALAND,37.3,10,124,17.2,1,125,2011
PAKISTAN,SRI LANKA,50,8,257,48.5,10,236,2011
PAKISTAN,NEW ZEALAND,50,7,293,50,9,250,2011
PAKISTAN,SRI LANKA,50,7,277,50,9,266,2011
AFGHANISTAN,PAKISTAN,48.3,10,195,37.1,3,198,2012
AUSTRALIA,PAKISTAN,50,9,248,43.4,3,249,2012
ENGLAND,PAKISTAN,50,7,260,35,10,130,2012
ENGLAND,PAKISTAN,50,4,250,49,10,230,2012
INDIA,PAKISTAN,50,6,227,48.1,4,228,2012
SRI LANKA,PAKISTAN,42,8,135,34.1,4,135,2012
SRI LANKA,PAKISTAN,50,8,243,45,10,199,2012
SRI LANKA,PAKISTAN,45.4,10,188,39.5,4,189,2012
SRI LANKA,PAKISTAN,50,4,280,46.2,10,204,2012
PAKISTAN,SRI LANKA,50,7,247,49.4,8,248,2012
PAKISTAN,BANGLADESH,50,8,262,48.1,10,241,2012
PAKISTAN,INDIA,50,6,329,47.5,4,330,2012
PAKISTAN,AUSTRALIA,50,7,244,47,7,250,2012
PAKISTAN,ENGLAND,50,10,222,37.2,1,226,2012
PAKISTAN,AUSTRALIA,45.1,10,198,48.2,6,199,2012
PAKISTAN,BANGLADESH,50,9,236,50,8,234,2012
PAKISTAN,ENGLAND,50,10,237,49.2,6,241,2012
INDIA,PAKISTAN,43.4,10,167,48.5,10,157,2013
IRELAND,PAKISTAN,50,9,229,48.4,8,230,2013
SOUTH AFRICA,PAKISTAN,50,5,266,49.2,10,238,2013
SOUTH AFRICA,PAKISTAN,50,4,315,36.2,10,190,2013
SOUTH AFRICA,PAKISTAN,50,9,234,45,10,167,2013
SOUTH AFRICA,PAKISTAN,43.2,10,191,39.2,4,192,2013
SOUTH AFRICA,PAKISTAN,49.5,10,183,46.3,10,182,2013
SOUTH AFRICA,PAKISTAN,50,5,343,48.1,10,309,2013
SOUTH AFRICA,PAKISTAN,50,7,268,35.3,10,151,2013
SOUTH AFRICA,PAKISTAN,50,8,259,44.3,10,191,2013
SOUTH AFRICA,PAKISTAN,50,9,234,48.4,7,236,2013
SRI LANKA,PAKISTAN,48.5,10,225,41.1,2,226,2013
WEST INDIES,PAKISTAN,49,7,261,30,4,189,2013
WEST INDIES,PAKISTAN,50,8,232,47.5,10,195,2013
WEST INDIES,PAKISTAN,50,7,242,49.5,6,243,2013
PAKISTAN,SCOTLAND,50,7,231,39.4,10,135,2013
PAKISTAN,SOUTH AFRICA,49.1,10,205,44,4,208,2013
PAKISTAN,WEST INDIES,48,10,170,40.4,8,172,2013
PAKISTAN,SOUTH AFRICA,45,10,262,45,6,261,2013
PAKISTAN,INDIA,39.4,10,165,19.1,2,102,2013
PAKISTAN,SRI LANKA,50,5,322,49.4,10,311,2013
PAKISTAN,SRI LANKA,50,5,326,44.4,10,213,2013
PAKISTAN,ZIMBABWE,50,4,299,42.4,10,209,2013
PAKISTAN,INDIA,48.3,10,250,48,10,165,2013
PAKISTAN,SOUTH AFRICA,46.5,10,179,38.4,6,181,2013
PAKISTAN,ZIMBABWE,50,6,260,40,10,152,2013
PAKISTAN,SOUTH AFRICA,49.4,10,209,40.4,10,143,2013
PAKISTAN,ZIMBABWE,50,7,244,48.2,3,246,2013
PAKISTAN,WEST INDIES,50,6,229,50,9,229,2013
PAKISTAN,SRI LANKA,49.3,10,232,49.4,8,235,2013
PAKISTAN,WEST INDIES,50,9,224,41,10,98,2013
PAKISTAN,SOUTH AFRICA,50,9,218,48.1,10,195,2013
PAKISTAN,SRI LANKA,50,4,284,49.4,8,287,2013
PAKISTAN,IRELAND,47,5,266,47,5,275,2013
AUSTRALIA,PAKISTAN,50,8,255,36.3,10,162,2014
AUSTRALIA,PAKISTAN,50,9,231,50,10,230,2014
BANGLADESH,PAKISTAN,50,3,326,49.5,7,329,2014
INDIA,PAKISTAN,50,8,245,49.4,9,249,2014
NEW ZEALAND,PAKISTAN,50,5,299,50,8,292,2014
NEW ZEALAND,PAKISTAN,50,7,246,49.3,7,250,2014
NEW ZEALAND,PAKISTAN,50,4,275,43.3,10,207,2014
SRI LANKA,PAKISTAN,45,7,275,44.5,6,277,2014
SRI LANKA,PAKISTAN,50,9,310,43.5,10,233,2014
SRI LANKA,PAKISTAN,50,6,296,48.5,10,284,2014
PAKISTAN,SRI LANKA,32.1,10,102,18.2,3,104,2014
PAKISTAN,AFGHANISTAN,50,8,248,47.2,10,176,2014
PAKISTAN,NEW ZEALAND,50,7,364,38.2,10,217,2014
PAKISTAN,AUSTRALIA,49.3,10,215,43.2,5,217,2014
PAKISTAN,NEW ZEALAND,48.3,10,252,46,6,255,2014
PAKISTAN,SRI LANKA,50,5,260,46.2,5,261,2014
BANGLADESH,PAKISTAN,50,6,329,45.2,10,250,2015
ENGLAND,PAKISTAN,50,5,283,45.5,10,188,2015
ENGLAND,PAKISTAN,49.4,10,216,43.4,4,217,2015
ENGLAND,PAKISTAN,50,5,355,40.4,10,271,2015
INDIA,PAKISTAN,50,7,300,47,10,224,2015
IRELAND,PAKISTAN,50,10,237,46.1,3,241,2015
NEW ZEALAND,PAKISTAN,50,5,369,43.1,10,250,2015
SRI LANKA,PAKISTAN,50,8,255,45.2,4,259,2015
SRI LANKA,PAKISTAN,50,9,256,40.5,3,257,2015
SRI LANKA,PAKISTAN,50,4,368,37.2,10,203,2015
WEST INDIES,PAKISTAN,50,6,310,39,10,160,2015
ZIMBABWE,PAKISTAN,50,6,276,48,8,256,2015
ZIMBABWE,PAKISTAN,38.5,10,161,34,3,162,2015
ZIMBABWE,PAKISTAN,50,7,268,47.2,4,269,2015
PAKISTAN,ZIMBABWE,50,3,375,50,5,334,2015
PAKISTAN,ZIMBABWE,50,9,296,9,0,68,2015
PAKISTAN,ENGLAND,49.5,10,208,41,4,210,2015
PAKISTAN,BANGLADESH,49,10,250,39.3,2,251,2015
PAKISTAN,SRI LANKA,50,4,316,41.1,10,181,2015
PAKISTAN,NEW ZEALAND,45.3,10,210,39.3,3,213,2015
PAKISTAN,UNITED ARAB EMIRATES,50,6,339,50,8,210,2015
PAKISTAN,ZIMBABWE,50,6,259,37,10,128,2015
PAKISTAN,AUSTRALIA,49.5,10,213,33.5,4,216,2015
PAKISTAN,BANGLADESH,50,6,239,38.1,3,240,2015
PAKISTAN,SRI LANKA,50,8,287,48.1,8,288,2015
PAKISTAN,ZIMBABWE,50,7,235,49.4,10,215,2015
PAKISTAN,SOUTH AFRICA,46.4,10,222,33.3,10,202,2015
ENGLAND,PAKISTAN,50,9,302,48.2,6,304,2016
ENGLAND,PAKISTAN,50,3,444,42.4,10,275,2016
NEW ZEALAND,PAKISTAN,50,8,280,46,10,210,2016
PAKISTAN,WEST INDIES,50,6,308,44,10,172,2016
PAKISTAN,ENGLAND,50,6,260,34.3,3,194,2016
PAKISTAN,IRELAND,47,6,337,23.4,10,82,2016
PAKISTAN,ENGLAND,50,8,247,48,6,252,2016
PAKISTAN,ENGLAND,49.5,10,251,47.3,6,255,2016
PAKISTAN,WEST INDIES,49,9,284,38.4,10,175,2016
PAKISTAN,NEW ZEALAND,47.3,10,290,42.4,7,265,2016
PAKISTAN,WEST INDIES,50,5,337,50,7,278,2016
AUSTRALIA,PAKISTAN,50,9,268,42.4,10,176,2017
AUSTRALIA,PAKISTAN,48.2,10,220,47.4,4,221,2017
AUSTRALIA,PAKISTAN,50,6,353,43.5,10,267,2017
AUSTRALIA,PAKISTAN,50,7,369,49.1,9,312,2017
ENGLAND,PAKISTAN,49.5,10,211,37.1,2,215,2017
INDIA,PAKISTAN,48,3,319,33.4,9,164,2017
SOUTH AFRICA,PAKISTAN,50,8,219,27,3,119,2017
SRI LANKA,PAKISTAN,48.2,10,208,42.3,3,209,2017
SRI LANKA,PAKISTAN,43.4,10,173,39,3,177,2017
SRI LANKA,PAKISTAN,49.2,10,236,44.5,7,237,2017
SRI LANKA,PAKISTAN,26.2,10,103,20.2,1,105,2017
WEST INDIES,PAKISTAN,50,9,233,43.1,4,236,2017
PAKISTAN,WEST INDIES,50,5,308,49,6,309,2017
PAKISTAN,INDIA,50,4,338,30.3,10,158,2017
PAKISTAN,AUSTRALIA,50,7,263,45,3,265,2017
PAKISTAN,SRI LANKA,50,6,292,50,8,209,2017
PAKISTAN,WEST INDIES,50,5,282,44.5,10,208,2017
PAKISTAN,SRI LANKA,50,9,219,48,10,187,2017
AFGHANISTAN,PAKISTAN,50,6,257,49.3,7,258,2018
BANGLADESH,PAKISTAN,48.5,10,239,50,9,202,2018
HONG KONG,PAKISTAN,37.1,10,116,23.4,2,120,2018
NEW ZEALAND,PAKISTAN,50,7,271,49,10,256,2018
NEW ZEALAND,PAKISTAN,50,7,315,30.1,6,166,2018
NEW ZEALAND,PAKISTAN,50,9,266,47.2,10,219,2018
NEW ZEALAND,PAKISTAN,50,10,257,27.2,10,74,2018
NEW ZEALAND,PAKISTAN,50,9,209,40.3,4,212,2018
ZIMBABWE,PAKISTAN,25.1,10,67,9.5,1,69,2018
ZIMBABWE,PAKISTAN,49.2,10,194,36,1,195,2018
PAKISTAN,ZIMBABWE,50,4,364,50,4,233,2018
PAKISTAN,INDIA,43.1,10,162,29,2,164,2018
PAKISTAN,INDIA,50,7,237,39.3,1,238,2018
PAKISTAN,ZIMBABWE,50,1,399,42.4,10,155,2018
PAKISTAN,ZIMBABWE,50,7,308,35,10,107,2018
PAKISTAN,NEW ZEALAND,50,9,246,23.5,2,151,2018
PAKISTAN,NEW ZEALAND,50,8,262,45.5,5,263,2018
PAKISTAN,NEW ZEALAND,50,8,279,6.5,1,35,2018
AUSTRALIA,PAKISTAN,50,7,277,50,8,271,2019
AUSTRALIA,PAKISTAN,50,6,266,44.4,10,186,2019
AUSTRALIA,PAKISTAN,50,7,327,50,7,307,2019
SOUTH AFRICA,PAKISTAN,50,2,266,49.1,5,267,2019
SOUTH AFRICA,PAKISTAN,41,10,164,31.3,2,168,2019
PAKISTAN,SOUTH AFRICA,45.5,10,203,42,5,207,2019
PAKISTAN,SOUTH AFRICA,50,8,240,40,3,241,2019
PAKISTAN,AUSTRALIA,50,5,280,49,2,281,2019
PAKISTAN,AUSTRALIA,50,7,284,47.5,2,285,2019
PAKISTAN,SOUTH AFRICA,50,6,317,33,2,187,2019
